,precision,recall,f1-score,support
0,0.8421052631578947,0.8888888888888888,0.8648648648648649,18.0
1,1.0,0.8648648648648649,0.927536231884058,37.0
2,0.5,0.5,0.5,2.0
3,0.9772727272727273,0.9555555555555556,0.9662921348314608,45.0
4,0.875,0.7,0.7777777777777777,20.0
5,0.7916666666666666,0.9047619047619048,0.8444444444444444,21.0
6,0.75,1.0,0.8571428571428571,6.0
7,1.0,1.0,1.0,3.0
8,0.9047619047619048,0.95,0.9268292682926829,40.0
9,0.8636363636363636,1.0,0.9268292682926829,19.0
10,1.0,0.8,0.888888888888889,5.0
accuracy,0.9027777777777778,0.9027777777777778,0.9027777777777778,0.9027777777777778
macro avg,0.8640402659541415,0.8694610194610196,0.8618732487654289,216.0
weighted avg,0.9090728452022312,0.9027777777777778,0.9024475533340381,216.0
